Maps,Name,Rating,Type,Description,Price per Night,Amenities 1,Amenities 2,Amenities 3,Amenities 4,Latitude,Longitude
https://www.google.com/maps/place/Aryaduta+Menteng/data=!4m10!3m9!1s0x2e69f431511b4705:0x5e50ddbbad3cd0d4!5m2!4m1!1i2!8m2!3d-6.181642!4d106.835273!16s%2Fg%2F11c5rmsn4b!19sChIJBUcbUTH0aS4R1NA8rbvdUF4?authuser=0&hl=en&rclk=1,Aryaduta Menteng,4.5,5-star hotel,Upscale hotel with dining & a spa,4163,Pool,Spa,Free parking,Free Wi-Fi,-6.181642,106.835273
https://www.google.com/maps/place/ibis+budget+Jakarta+Cikini/data=!4m10!3m9!1s0x2e69f43f2a55e243:0xe8fef13da8fa7695!5m2!4m1!1i2!8m2!3d-6.191501!4d106.8386786!16s%2Fg%2F1yh4g8q9t!19sChIJQ-JVKj_0aS4RlXb6qD3x_ug?authuser=0&hl=en&rclk=1,ibis budget Jakarta Cikini,4.2,2-star hotel,Basic budget hotel with flat-screen TVs,1922,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.191501,106.8386786
https://www.google.com/maps/place/Mercure+Jakarta+Cikini/data=!4m10!3m9!1s0x2e69f4390f1f8d1d:0x57082859cac8932b!5m2!4m1!1i2!8m2!3d-6.194362!4d106.8388039!16s%2Fg%2F11btv64vv4!19sChIJHY0fDzn0aS4RK5PIylkoCFc?authuser=0&hl=en&rclk=1,Mercure Jakarta Cikini,4.5,4-star hotel,Upscale property with a rooftop pool,4783,Pool,Free parking,Free Wi-Fi,Air-conditioned,-6.194362,106.8388039
https://www.google.com/maps/place/Lumire+Hotel+%26+Convention+Center/data=!4m10!3m9!1s0x2e69f43551ca9263:0x4949ba549b582667!5m2!4m1!1i2!8m2!3d-6.1759748!4d106.8404083!16s%2Fg%2F1pp2wz_bt!19sChIJY5LKUTX0aS4RZyZYm1S6SUk?authuser=0&hl=en&rclk=1,Lumire Hotel & Convention Center,4.4,4-star hotel,Polished hotel with dining & a pool,3750,Pool,Spa,Free breakfast,Free Wi-Fi,-6.1759748,106.8404083
https://www.google.com/maps/place/The+Westin+Jakarta/data=!4m10!3m9!1s0x2e69f3f1144aa5e5:0x55b5886634b5a317!5m2!4m1!1i2!8m2!3d-6.2237501!4d106.8338607!16s%2Fg%2F11ckvvj713!19sChIJ5aVKFPHzaS4RF6O1NGaItVU?authuser=0&hl=en&rclk=1,The Westin Jakarta,4.7,5-star hotel,Posh hotel in a modern skyscraper,22600,Pool,Spa,Free Wi-Fi,Air-conditioned,-6.2237501,106.8338607
https://www.google.com/maps/place/YELLO+Hotel+Manggarai+-+Jakarta/data=!4m10!3m9!1s0x2e69f473a25503c3:0x6b66f2a7cfa0b0f9!5m2!4m1!1i2!8m2!3d-6.2106164!4d106.8454406!16s%2Fg%2F11c2nmnsg4!19sChIJwwNVonP0aS4R-bCgz6fyZms?authuser=0&hl=en&rclk=1,YELLO Hotel Manggarai - Jakarta,4.5,3-star hotel,Funky lodging with dining & a lounge,2121,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.2106164,106.8454406
https://www.google.com/maps/place/Sofyan+Hotel+Cut+Meutia+Cikini+Menteng+Jakarta/data=!4m10!3m9!1s0x2e69f43a1584070d:0xdf2b888dc9afbff!5m2!4m1!1i2!8m2!3d-6.1876036!4d106.834307!16s%2Fg%2F1td80_4f!19sChIJDQeEFTr0aS4R__ua3Ii48g0?authuser=0&hl=en&rclk=1,Sofyan Hotel Cut Meutia Cikini Menteng Jakarta,4.4,3-star hotel,Refined lodging with dining & a bar,1591,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.1876036,106.834307
https://www.google.com/maps/place/Park+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f30e2f9e8f47:0xd326bb1f38407753!5m2!4m1!1i2!8m2!3d-6.2441268!4d106.8756071!16s%2Fg%2F1tglcv7p!19sChIJR4-eLw7zaS4RU3dAOB-7JtM?authuser=0&hl=en&rclk=1,Park Hotel Jakarta,4.3,3-star hotel,Polished lodging with a bar & dining,2112,Pool,Spa,Free parking,Free Wi-Fi,-6.2441268,106.8756071
https://www.google.com/maps/place/ARTOTEL+Wahid+Hasyim+-+Jakarta/data=!4m10!3m9!1s0x2e69f58b78ffc561:0x9886bd501f2737a3!5m2!4m1!1i2!8m2!3d-6.1872824!4d106.8208495!16s%2Fg%2F11h0b5np4h!19sChIJYcX_eIv1aS4RozcnH1C9hpg?authuser=0&hl=en&rclk=1,ARTOTEL Wahid Hasyim - Jakarta,4.4,Hotel,Chic hotel with dining & an art gallery,2795,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.1872824,106.8208495
https://www.google.com/maps/place/P+Hotel/data=!4m10!3m9!1s0x2e69f4f5b117d621:0x233d7d4553e1d892!5m2!4m1!1i2!8m2!3d-6.1921169!4d106.8672601!16s%2Fg%2F11f0wk7m1j!19sChIJIdYXsfX0aS4RktjhU0V9PSM?authuser=0&hl=en&rclk=1,P Hotel,4.2,3-star hotel,Straightforward hotel with a cafe,1485,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.1921169,106.8672601
https://www.google.com/maps/place/Royal+Kuningan+Hotel/data=!4m10!3m9!1s0x2e69f41002e34877:0x55bc632bcbe54d2c!5m2!4m1!1i2!8m2!3d-6.2066454!4d106.8300763!16s%2Fg%2F12hv4dgvd!19sChIJd0jjAhD0aS4RLE3lyytjvFU?authuser=0&hl=en&rclk=1,Royal Kuningan Hotel,4.4,4-star hotel,High-rise lodging with dining & a pool,2869,Pool,Spa,Free parking,Free Wi-Fi,-6.2066454,106.8300763
https://www.google.com/maps/place/Maple+Hotel+Grogol/data=!4m10!3m9!1s0x2e69f64560540129:0xd71bd14b8c28d704!5m2!4m1!1i2!8m2!3d-6.1659777!4d106.7826658!16s%2Fg%2F11g6rkn3bp!19sChIJKQFUYEX2aS4RBNcojEvRG9c?authuser=0&hl=en&rclk=1,Maple Hotel Grogol,4.2,3-star hotel,Laid-back hotel with dining & parking,1378,Free parking,Free Wi-Fi,Air-conditioned,Breakfast,-6.1659777,106.7826658
https://www.google.com/maps/place/PAX+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f464bb03405f:0x1568a39ec987c1a9!5m2!4m1!1i2!8m2!3d-6.2054522!4d106.858381!16s%2Fg%2F11b8tcl5cv!19sChIJX0ADu2T0aS4RqcGHyZ6jaBU?authuser=0&hl=en&rclk=1,PAX Hotel Jakarta,4.3,3-star hotel,Unfussy hotel with free Wi-Fi,1591,Free parking,Free Wi-Fi,Air-conditioned,Wi-Fi,-6.2054522,106.858381
https://www.google.com/maps/place/Hotel+Diradja/data=!4m10!3m9!1s0x2e69f3dfa8b6f5e9:0xe9c1704af2384fa9!5m2!4m1!1i2!8m2!3d-6.2398029!4d106.8202067!16s%2Fg%2F11b5wrrx5m!19sChIJ6fW2qN_zaS4RqU848kpwwek?authuser=0&hl=en&rclk=1,Hotel Diradja,4.2,3-star hotel,Upscale hotel offering karaoke rooms,1743,Spa,Free parking,Free Wi-Fi,Air-conditioned,-6.2398029,106.8202067
https://www.google.com/maps/place/Ana+Hotel/data=!4m10!3m9!1s0x2e69f42090d58cc7:0xa197cab8a77f503d!5m2!4m1!1i2!8m2!3d-6.1935812!4d106.8188542!16s%2Fg%2F11f2rxww6h!19sChIJx4zVkCD0aS4RPVB_p7jKl6E?authuser=0&hl=en&rclk=1,Ana Hotel,4.4,3-star hotel,Stylish hotel offering free breakfast,1954,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned,-6.1935812,106.8188542
"https://www.google.com/maps/place/The+Orient+Hotel+Jakarta,+a+Royal+Hideaway+Hotel/data=!4m10!3m9!1s0x2e69f7bdedd12ab9:0x5621a12aedc88912!5m2!4m1!1i2!8m2!3d-6.2158634!4d106.8161965!16s%2Fg%2F11ny1y4lhn!19sChIJuSrR7b33aS4REonI7SqhIVY?authuser=0&hl=en&rclk=1","The Orient Hotel Jakarta, a Royal Hideaway Hotel",4.6,5-star hotel,Upscale hotel with 2 eateries & a pool,12300,Pool,Free parking,Free Wi-Fi,Air-conditioned,-6.2158634,106.8161965
https://www.google.com/maps/place/Sotis+Hotel+Kemang+Jakarta/data=!4m10!3m9!1s0x2e69f1fb31953d81:0x5481ac5b9f15653e!5m2!4m1!1i2!8m2!3d-6.254959!4d106.8092173!16s%2Fg%2F11fkt4wcmp!19sChIJgT2VMfvxaS4RPmUVn1usgVQ?authuser=0&hl=en&rclk=1,Sotis Hotel Kemang Jakarta,4.4,4-star hotel,Refined lodging with a Japanese eatery,2817,Pool,Spa,Free parking,Free Wi-Fi,-6.254959,106.8092173
"https://www.google.com/maps/place/Four+Points+by+Sheraton+Jakarta,+Thamrin/data=!4m10!3m9!1s0x2e69f4266c740f21:0xcbd6b7cb7cc94273!5m2!4m1!1i2!8m2!3d-6.1883062!4d106.8226392!16s%2Fg%2F11c4766kh3!19sChIJIQ90bCb0aS4Rc0LJfMu31ss?authuser=0&hl=en&rclk=1","Four Points by Sheraton Jakarta, Thamrin",4.3,4-star hotel,Modern hotel with casual dining & a gym,4863,Spa,Free parking,Free Wi-Fi,Air-conditioned,-6.1883062,106.8226392
https://www.google.com/maps/place/K-Style+Eco+Hotel+Jakarta/data=!4m10!3m9!1s0x2e69f5c0c112b3cf:0x5c51fe8cfc52539a!5m2!4m1!1i2!8m2!3d-6.1595897!4d106.8395148!16s%2Fg%2F1thv1p1_!19sChIJz7MSwcD1aS4RmlNS_Iz-UVw?authuser=0&hl=en&rclk=1,K-Style Eco Hotel Jakarta,3.9,2-star hotel,Modest budget hotel with a restaurant,862,Free parking,Air-conditioned,Wi-Fi,Restaurant,-6.1595897,106.8395148
https://www.google.com/maps/place/Hotel+Paragon/data=!4m10!3m9!1s0x2e69f43aa3948fbb:0xbdf55bc9ccfec4de!5m2!4m1!1i2!8m2!3d-6.186664!4d106.8312229!16s%2Fg%2F1pp2vmc07!19sChIJu4-Uozr0aS4R3sT-zMlb9b0?authuser=0&hl=en&rclk=1,Hotel Paragon,4,3-star hotel,Casual lodging with a restaurant,1496,Free parking,Air-conditioned,Breakfast,Wi-Fi,-6.186664,106.8312229
https://www.google.com/maps/place/THE+1O1+Jakarta+Sedayu+Darmawangsa/data=!4m10!3m9!1s0x2e69f176cbaa0417:0x7d4b3f254682facc!5m2!4m1!1i2!8m2!3d-6.253952!4d106.80182!16s%2Fg%2F11b7hcbsqp!19sChIJFwSqy3bxaS4RzPqCRiU_S30?authuser=0&hl=en&rclk=1,THE 1O1 Jakarta Sedayu Darmawangsa,4.5,4-star hotel,Striking hotel featuring city views,4632,Pool,Spa,Free parking,Free Wi-Fi,-6.253952,106.80182
https://www.google.com/maps/place/Swiss-Belinn+Wahid+Hasyim/data=!4m10!3m9!1s0x2e69f4262d27ac35:0xe4d513e06ee6223d!5m2!4m1!1i2!8m2!3d-6.18724!4d106.820843!16s%2Fg%2F11hk01rtjr!19sChIJNawnLSb0aS4RPSLmbuAT1eQ?authuser=0&hl=en&rclk=1,Swiss-Belinn Wahid Hasyim,4.5,3-star hotel,Contemporary hotel with dining & a bar,2590,Spa,Free parking,Free breakfast,Free Wi-Fi,-6.18724,106.820843
